"Incident_ID","Media_Attention","School_Level","pct_White","pct_Black","pct_Hispanic","pct_Asian","fatalities"
"20190212MOCEK","Local",3,0.0523138832997988,0.869215291750503,0.0563380281690141,0,1
"20190127NVRER","Local",3,0.651041666666667,0.0208333333333333,0.206018518518519,0.0445601851851852,0
"20181213INDER","National",2,0.66,0.0676923076923077,0.110769230769231,0.0138461538461538,0
"20181029NCBUM","National",3,0.353472882968601,0.290199809705043,0.241198858230257,0.0670789724072312,1
"20180905RIPRP","Local",3,0.0377643504531722,0.125377643504532,0.734138972809668,0.0619335347432024,1
"20180831IANOE","Local",2,0.872832369942196,0.0250481695568401,0.0520231213872832,0.00770712909441233,0
"20180830NCVIC","Local",1,0.15,0.63,0.08,0.06,0
"20180829DETOD","Local",1,0.152027027027027,0.648648648648649,0.135135135135135,0.00675675675675676,1
"20180817FLPAW","National",3,0.358564437194127,0.185970636215334,0.378140293637847,0.0430668841761827,0
"20180803IALIO","Local",1,0.615503875968992,0.0465116279069767,0.28062015503876,0.0217054263565891,0
"20180625OHFUS","Local",1,0.288184438040346,0.406340057636888,0.121037463976945,0.00576368876080692,0
"20180624MTSEM","Local",3,0.876971608832808,0.029179810725552,0.0260252365930599,0.0205047318611987,0
"20180621TXSKD","Local",3,0.0125325135965949,0.230314495152518,0.74367462757153,0.004019862851738,0
"20180518TXSAS","National",3,0.736920777279522,0.00224215246636771,0.229446935724963,0.00373692077727952,10
"20180420FLFOO","National",3,0.605922551252847,0.15626423690205,0.165831435079727,0.0186788154897494,0
"20180409NYGLG","Local",2,0.824390243902439,0.0455284552845528,0.0682926829268293,0.00650406504065041,0
"20180328MSEUE","Local",3,0.630434782608696,0.332608695652174,0.00652173913043478,0,0
"20180320MDGRG","National",3,0.410225921521998,0.362663495838288,0.113555291319857,0.0422116527942925,1
"20180316MTBIM","Local",3,0.842293906810036,0.0188172043010753,0.0304659498207885,0.0241935483870968,0
"20180205MDOXO","International",3,0.0193370165745856,0.61878453038674,0.25828729281768,0.074585635359116,0
"20180131PALIP","Local",3,0.164914222468179,0.390149418926397,0.320973990038738,0.0558937465412286,1
"20180123KYMAB","National",3,0.963649851632048,0.00222551928783383,0.0185459940652819,0.00445103857566766,2
"20180122TXITI","National",3,0.515384615384615,0.115384615384615,0.330769230769231,0,0
"20171211NCHIH","Regional",3,0.281573498964803,0.37888198757764,0.181504485852312,0.115251897860594,0
"20171207NMAZA","National",3,0.524404086265607,0.00567536889897843,0.25539160045403,0.00113507377979569,2
"20171103MIPAL","Regional",2,0.232032854209446,0.359342915811088,0.273100616016427,0.0164271047227926,0
"20170920ILMAM","Regional",3,0.882527147087858,0.035538005923001,0.0434353405725568,0.0069101678183613,0
"20170913WAFRR","National",3,0.886904761904762,0.00892857142857143,0.0595238095238095,0.0297619047619048,1
"20170616ILWAC","National",1,0,0.987179487179487,0.00854700854700855,0,0
"20170415ORMEP","Local",1,0.371002132196162,0.127931769722815,0.264392324093817,0.110874200426439,1
"20170218MNMAM","Local",2,0.337570621468927,0.187853107344633,0.193502824858757,0.196327683615819,0
