Incident_ID,Sources,Number_News,Media_Attention,Reliability,Date,Quarter,School,City,State,School_Level,Location,Location_Type,During_School,Time_Period,First_Shot,Summary,Narrative,Situation,Targets,Accomplice,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Preplanned,Shots_Fired,Active_Shooter_FBI,Year,Month,Day,Date_Week_Later,Query_Date,Query_Date_Week_Later
20190823GAPEC,https://www.ntd.com/12-year-old-boy-shot-at-georgia-elementary-school_372890.html https://www.ajc.com/news/crime--law/boy-custody-after-year-old-found-shot-rockdale-elementary-school/UfGBojoDAe88fXlAHasriJ/,,,3,2019-08-23,Summer,Peek's Chapel Elementary School,Conyers,GA,Elementary,Outside on School Property,Outside on School Property,No,Evening,6:35 PM,15YOM shot 12YOM outside of elementary school after hours,15YOM shot 12YOM outside of elementary school after school operating hours. No motive or other information available.,Unknown,,No,No,No,No,,No,,No,,No,2019,8,23,2019-08-30,2019-08-23T00:00:00Z,2019-08-30T00:00:00Z
20190820PASAC,https://cumberlink.com/news/local/crime-and-courts/school-saint-patrick-parent-accidentally-fires-gun-injures-self-in/article_d58b284e-fd55-5d1f-bf83-91de12e5302d.html,,,3,2019-08-20,Summer,Saint Patrick School,Carlisle,PA,High,Parking Lot,Outside on School Property,No,School Event,6:00 PM,Parent accidentally discharged handgun shooting himself,Parent at back to school night accidentally discharged handgun striking himself. Parent was correctional officer and handgun was issued to him by prison. No other injuries or threat to students.,Accidental,Random Shooting,No,No,No,No,No,No,No,No,1,No,2019,8,20,2019-08-27,2019-08-20T00:00:00Z,2019-08-27T00:00:00Z
20190817GALAA,https://www.wsbtv.com/news/local/atlanta/2-teens-shot-1-critical-after-fight-outside-high-school-football-game-police-say/976981343 https://www.ajc.com/news/crime--law/child-paralyzed-stadium-shooting-leaves-hospital-for-new-home-gifted-shaq/NKqLohiZL68e2b3LNDO1cN/# https://www.ajc.com/news/crime--law/believe-miracles-mom-child-paralyzed-stadium-shooting-details-his-recovery/HC5A2iF7tcoDoGX0E0JKjO/,,,4,2019-08-17,Summer,Lakewood Stadium,Atlanta,GA,High,Football Field/Track,Outside on School Property,No,Sport Event,9:00 PM,Shots fired during fight at football game,Shots fired during rivalry game between Mays High School and Carver High School in Atlanta. 12YOM was shot and paralyzed. 16YOM student was shot (minor injury). Shooter fled the area. Multiple fights reported. Police were assigned to the stadium during the game. 15YOM arrested. Neither victim was intended target.,Escalation of Dispute,Both,,No,No,No,No,No,Yes,No,,No,2019,8,17,2019-08-24,2019-08-17T00:00:00Z,2019-08-24T00:00:00Z
20190815TNEAN,https://www.wsmv.com/news/three-in-custody-after-shots-fired-at-east-high-school/article_9f788d58-bfcf-11e9-bdda-c788cc06a4b1.html,,,4,2019-08-15,Summer,East Magnet High School,Nashville,TN,High,Football Field/Track,Outside on School Property,No,Sport Event,,15YOM fired multiple shots during football jamboree,15YOM fired multiple shots during football jamboree. No injuries. Police saw the suspect running from the area with a handgun and recovered the gun in the parking lot. Multiple other fights occurred during the event. Police plan to have metal detectors for future events. Police officials said 100 officers could be assigned to the event and it would not stop these incidents.,Escalation of Dispute,,Yes,No,No,No,No,No,,No,<10,No,2019,8,15,2019-08-22,2019-08-15T00:00:00Z,2019-08-22T00:00:00Z
20190809NJWEN,https://www.nj.com/news/2019/08/16-year-old-arrested-for-shooting-2-teens-outside-newark-school-police-say.html https://www.rlsmedia.com/article/breaking-newark-nj-two-shot-outside-west-side-high-school,2,Local,4,2019-08-09,Fall,West Side High School,Newark,NJ,High,Front of School,Outside on School Property,No,Night,21:22:00,Two teens shot in front of the school,A 13-year-old and 18-year-old were shot in front of the school. Shooter fled the scene. 16-year-old shooter was arrested on 8/17/2019 and charged. Shooter was visiting from Connecticut and not a student at the school.,,,No,No,No,No,No,No,,No,,No,2019,8,9,2019-08-16,2019-08-09T00:00:00Z,2019-08-16T00:00:00Z
20190808ALBLM,https://www.usnews.com/news/us/articles/2019-08-08/police-2-men-arrested-after-road-rage-shooting-at-school https://www.alabamanews.net/2019/08/08/two-men-in-custody-after-shooting-in-elementary-school-parking-lot/ https://www.wsfa.com/2019/08/26/montgomery-school-shooting-suspect-charged-with-escape/,,,4,2019-08-08,Summer,Blount Elementary School,Montgomery,AL,Elementary,Parking Lot,Outside on School Property,Yes,School Start,7:30 AM,Adult male fired shots in school parking lot during road rage incident,"38YOM fired shot at another adult male in a vehicle in the school parking lot during a dispute police described as a ""road rage"" incident. Shooter entered the school and surrendered the weapon to school staff members then waited for police to arrive. School was locked down. Court ordered shooter to attend mental health treatment following incident. Shooter held without bond after trying to escape from the mental health facility.",Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,<10,No,2019,8,8,2019-08-15,2019-08-08T00:00:00Z,2019-08-15T00:00:00Z
20190719CAMOS,https://fox5sandiego.com/2019/07/19/mid-city-school-locks-down-over-bb-gun-shooting/,,,3,2019-07-19,Summer,Monroe Clark Middle School,San Diego,CA,Middle,Front of School,Outside on School Property,Yes,Morning Classes,11:55 AM,Teen fired BB's at school building then fled,Teen in sweatshirt was seen firing BB's at the school building. School was locked down. Teen fled the area and police were unable to locate a suspect. School was locked down for 1 hour.,Intentional Property Damage,Neither,No,No,No,No,No,No,No,No,,No,2019,7,19,2019-07-26,2019-07-19T00:00:00Z,2019-07-26T00:00:00Z
20190711CTBUH,https://whdh.com/news/2-charged-in-fatal-shooting-of-man-found-behind-high-school/,1-5,Local,3,2019-07-11,Summer,Bulkeley High School,Hartford,CT,High,Beside Building,Outside on School Property,No,Not a School Day,12:00 PM,Two women in car chased victim onto school property then shot and killed him,Two adult females in vehicle chased victim on bicycle onto school property where they shot and killed him. Motive not released.,Drive-by Shooting,Victims Targeted,Yes,No,No,No,No,No,,No,,No,2019,7,11,2019-07-18,2019-07-11T00:00:00Z,2019-07-18T00:00:00Z
20190702AKWIA,https://www.citynews1130.com/2019/07/03/teen-shot-wounded-at-anchorage-school-basketball-court/ https://www.ktuu.com/content/news/Teenager-shot-at-Williwaw-Elementary-has-life-threatening-injuries-512155392.html https://www.ktva.com/story/41203500/2-men-indicted-on-federal-charges-for-shooting-guns-on-school-grounds,,,4,2019-07-02,Summer,Williwaw Elementary School,Anchorage,AK,Elementary,Basketball Court,Outside on School Property,No,Evening,6:47 PM,Teen shot on basketball court after altercation,Unnamed teen was shot on basketball court of school after a dispute involving multiple people. Shooter fled the scene.,Escalation of Dispute,,,No,No,No,No,No,No,No,<10,No,2019,7,2,2019-07-09,2019-07-02T00:00:00Z,2019-07-09T00:00:00Z
20190701NYSCN,https://abc7ny.com/police-teen-shot-in-schoolyard-involved-in-cab-driver-robberies/5374508/ https://pix11.com/2019/07/02/teen-shot-in-chest-inside-bronx-schoolyard-police/,,,4,2019-07-01,Summer,School of Science and Applied Learning,New York,NY,Elementary,Playground,Outside on School Property,No,Night,10:20 PM,Cab driver shot 13YOM who had previously robbed him at the school playground,Group of teens were involved in multiple robberies of cab driver. A cab driver who had been robbed previously shot at 13YOM involved with the robberies while he was on the school playground. Victim was shot in chest. Shooter fled the area. School had installed fences to keep teens from loitering on the school property after hours but the teens climbed over the fence. ,Illegal Activity,Victims Targeted,No,No,No,No,No,No,No,No,<10,No,2019,7,1,2019-07-08,2019-07-01T00:00:00Z,2019-07-08T00:00:00Z
